City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
263,Amapa,BR,70.29,overcast clouds,1.0,-52.0,
265,Kondagaon,IN,62.08,clear sky,19.6,81.6667,AYAN MOTER
268,Cabrobo,BR,72.05,overcast clouds,-8.5142,-39.31,Hotel Limarques
271,Birao,CF,62.37,scattered clouds,10.2849,22.7882,
275,Dolores,AR,63.23,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
283,Makokou,GA,70.14,overcast clouds,0.5738,12.8642,Hôtel
287,Alta Floresta,BR,69.24,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
288,Tucuman,AR,73.4,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
290,Otse,BW,63.54,overcast clouds,-25.0167,25.7333,Baratani Lodge
291,Saldanha,ZA,64.06,clear sky,-33.0117,17.9442,Blue Bay Lodge
294,Bwanga,TZ,64.71,overcast clouds,-3.0308,31.7601,Sulilu Guest house
298,Mangrol,IN,65.34,clear sky,21.1167,70.1167,Hotel The Royal Honours
299,Port Lincoln,AU,73.11,clear sky,-34.7333,135.8667,Port Lincoln Hotel
300,Lebu,CL,57.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
301,Cozumel,MX,69.94,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
305,Taoudenni,ML,69.98,overcast clouds,22.6783,-3.9836,
312,Murphy,US,58.21,clear sky,33.0151,-96.6131,Southfork Ranch
314,Wonthaggi,AU,69.26,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
321,Sunyani,GH,68.67,scattered clouds,7.3399,-2.3268,Nass Lodge
327,Trinidad,BO,73.76,overcast clouds,-14.8333,-64.9,Hotel Piesta
328,Canazas,PA,69.44,scattered clouds,8.3167,-81.2167,HACIENDA LOS DIAZ
330,Lompoc,US,56.59,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
332,Sao Joao Da Barra,BR,74.5,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
333,Plettenberg Bay,ZA,63.84,clear sky,-34.0527,23.3716,Thanda Vista B&B
335,Marzuq,YE,58.12,few clouds,14.4,46.4667,
343,Asosa,ET,61.14,few clouds,10.0667,34.5333,Blendana Hotel Assosa
344,Vilhena,BR,68.58,light rain,-12.7406,-60.1458,Hotel Mirage
347,Pacasmayo,PE,71.73,overcast clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
348,Los Llanos De Aridane,ES,58.75,overcast clouds,28.6585,-17.9182,Valle Aridane
351,Gurupa,BR,71.94,overcast clouds,-1.405,-51.64,Hotel Vitória
353,Ray,IN,56.17,clear sky,23.6833,85.05,Bablu Cake Corner
354,Ndele,CF,65.34,overcast clouds,8.4109,20.6473,
356,Pemex,MX,62.38,overcast clouds,18.4395,-96.3461,Hotel Alquimia Premier
357,Kaitangata,NZ,56.8,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
360,Dwarka,IN,67.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
362,Tiznit,MA,57.11,clear sky,29.5833,-9.5,
365,Camaqua,BR,65.68,broken clouds,-30.8511,-51.8122,Bartz Hotel
367,Rocha,UY,62.17,clear sky,-34.4833,-54.3333,Hotel Arrarte
371,Colesberg,ZA,68.36,broken clouds,-30.72,25.0972,Bhelekazi Guesthouse
373,Guerrero Negro,MX,61.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
380,Oussouye,SN,71.78,broken clouds,12.485,-16.5469,Auberge du Routard
381,Maraa,BR,72.9,heavy intensity rain,-1.8333,-65.3667,
382,Campos,BR,73.69,light rain,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
386,Abu Dhabi,AE,66.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
389,Taunggyi,MM,59.59,clear sky,20.7833,97.0333,True Treasure Hotel
390,Te Anau,NZ,60.93,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
392,Horta,PT,58.14,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
394,Boende,CD,69.78,overcast clouds,-0.2167,20.8667,
395,Santa Isabel Do Rio Negro,BR,73.89,overcast clouds,-0.4139,-65.0192,Hotel GSA
396,Naze,JP,57.27,overcast clouds,28.3667,129.4833,Shishime Hotel
398,Huambo,AO,58.91,overcast clouds,-12.7761,15.7392,SiSHotel
399,Lindi,TZ,71.56,overcast clouds,-10.0,39.7167,Lindi paradise house
