City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
59,Chokurdakh,70.6333,147.9167,-18.2,88,90,1.66,RU,2022-01-30 03:05:29,overcast clouds
60,Albany,42.6001,-73.9662,6.75,57,100,15.99,US,2022-01-30 03:06:57,overcast clouds
61,Lampa,-33.2833,-70.9,66.63,80,1,2.66,CL,2022-01-30 03:01:18,clear sky
62,Praya,14.9215,-23.5087,68.54,68,40,12.66,CV,2022-01-30 03:05:30,scattered clouds
63,Ardmore,34.1743,-97.1436,54.25,23,0,4.0,US,2022-01-30 03:05:30,clear sky
64,Canutama,-6.5339,-64.3831,71.94,99,100,2.73,BR,2022-01-30 03:05:31,overcast clouds
65,Jamestown,42.097,-79.2353,6.71,85,0,3.44,US,2022-01-30 03:05:31,clear sky
66,Zyryanka,65.75,150.85,-19.07,100,98,1.41,RU,2022-01-30 03:05:32,overcast clouds
67,Flinders,-34.5833,150.8552,85.21,74,98,8.55,AU,2022-01-30 03:05:34,overcast clouds
68,New Norfolk,-42.7826,147.0587,81.66,32,0,1.99,AU,2022-01-30 03:07:15,clear sky
69,Tombouctou,20.0,-3.0,68.14,14,73,11.43,ML,2022-01-30 03:05:34,broken clouds
70,Karatuzskoye,53.6072,92.8667,-8.43,92,62,2.26,RU,2022-01-30 03:05:35,broken clouds
71,Meulaboh,4.1363,96.1285,82.15,75,20,2.42,ID,2022-01-30 03:05:35,few clouds
72,Khandbari,27.3747,87.2039,52.92,66,56,1.48,NP,2022-01-30 03:07:16,broken clouds
73,Sawakin,19.1059,37.3321,69.15,66,100,10.54,SD,2022-01-30 03:05:36,overcast clouds
74,Hilo,19.7297,-155.09,74.93,69,40,9.22,US,2022-01-30 03:03:35,scattered clouds
75,Faanui,-16.4833,-151.75,80.76,71,99,6.62,PF,2022-01-30 02:59:39,overcast clouds
76,North Bend,43.4065,-124.2243,48.94,100,20,0.0,US,2022-01-30 03:05:37,few clouds
77,Ascension,30.2169,-90.9001,44.82,58,0,4.61,US,2022-01-30 03:05:37,clear sky
78,Shimoda,34.6667,138.95,44.1,56,95,10.13,JP,2022-01-30 03:05:38,overcast clouds
79,Port Alfred,-33.5906,26.891,68.11,87,13,8.03,ZA,2022-01-30 03:05:39,few clouds
80,Gazanjyk,39.2446,55.5154,36.27,79,0,6.8,TM,2022-01-30 03:02:25,clear sky
81,Cape Town,-33.9258,18.4232,67.1,73,0,4.0,ZA,2022-01-30 03:01:25,clear sky
82,Sur,22.5667,59.5289,70.03,50,2,3.24,OM,2022-01-30 03:00:55,clear sky
83,Khatanga,71.9667,102.5,-10.8,97,90,7.81,RU,2022-01-30 03:07:19,overcast clouds
84,Bulgan,48.8125,103.5347,-0.89,85,26,2.62,MN,2022-01-30 03:05:41,scattered clouds
85,Marawi,7.9986,124.2928,74.64,65,82,4.0,PH,2022-01-30 03:05:41,broken clouds
86,Riacho De Santana,-13.6092,-42.9389,67.35,93,100,2.21,BR,2022-01-30 03:05:42,overcast clouds
87,Buritis,-15.6178,-46.4233,69.17,90,97,3.67,BR,2022-01-30 03:05:42,overcast clouds
88,Hermanus,-34.4187,19.2345,65.8,88,1,10.98,ZA,2022-01-30 03:05:43,clear sky
89,Sao Filipe,14.8961,-24.4956,70.63,73,77,12.48,CV,2022-01-30 03:05:45,broken clouds
90,Kungurtug,50.5994,97.5228,-12.37,91,38,0.92,RU,2022-01-30 03:05:45,scattered clouds
91,Geraldton,-28.7667,114.6,86.41,54,0,16.11,AU,2022-01-30 03:07:20,clear sky
92,Seoul,37.5683,126.9778,34.21,25,22,4.56,KR,2022-01-30 03:06:12,few clouds
93,Kruisfontein,-34.0033,24.7314,56.88,90,1,4.21,ZA,2022-01-30 03:08:21,clear sky
94,Kasongo-Lunda,-6.4667,16.8167,71.22,87,100,0.65,CD,2022-01-30 03:08:21,overcast clouds
95,Morant Bay,17.8815,-76.4093,78.42,80,4,4.47,JM,2022-01-30 03:08:22,clear sky
96,Ritchie,-29.038,24.6028,71.56,61,57,11.48,ZA,2022-01-30 03:08:22,broken clouds
97,Poli,-3.3333,36.8,60.06,92,100,0.87,TZ,2022-01-30 03:08:23,light rain
98,Mahebourg,-20.4081,57.7,81.25,71,98,14.0,MU,2022-01-30 03:08:23,overcast clouds
99,Honningsvag,70.9821,25.9704,28.83,69,72,4.88,NO,2022-01-30 03:08:24,light snow
100,Portland,45.5234,-122.6762,44.71,69,0,5.01,US,2022-01-30 03:04:59,clear sky
101,Tambacounda,13.7539,-13.7586,79.54,17,61,5.61,SN,2022-01-30 03:08:25,broken clouds
102,Port Augusta,-32.5,137.7667,97.7,29,22,11.32,AU,2022-01-30 03:08:25,few clouds
103,Thompson,55.7435,-97.8558,-8.37,96,80,0.6,CA,2022-01-30 03:05:43,broken clouds
104,Vaini,-21.2,-175.2,81.99,75,99,11.01,TO,2022-01-30 03:05:35,light rain
105,Ballina,-28.8667,153.5667,86.18,76,53,10.87,AU,2022-01-30 03:08:26,broken clouds
106,Port Hardy,50.6996,-127.4199,47.75,95,100,20.45,CA,2022-01-30 03:08:26,light rain
107,Balsas,-7.5325,-46.0356,68.36,88,68,4.16,BR,2022-01-30 03:08:27,broken clouds
108,Yichun,47.7,128.9,5.23,76,83,6.73,CN,2022-01-30 03:08:27,broken clouds
109,Boguchany,58.3814,97.4531,3.81,96,100,2.13,RU,2022-01-30 03:08:27,overcast clouds
110,Barreirinhas,-2.7469,-42.8264,74.8,91,100,3.27,BR,2022-01-30 03:08:28,light rain
111,Kota Kinabalu,5.9749,116.0724,85.98,79,20,4.61,MY,2022-01-30 03:08:28,few clouds
112,Barrow,71.2906,-156.7887,-9.38,70,75,8.05,US,2022-01-30 03:08:29,broken clouds
113,Narsaq,60.9167,-46.05,14.22,91,100,10.18,GL,2022-01-30 03:08:29,light snow
